,distance (m),,,
0.66625,0.21653,0.34928,0.36137,0.36118
0.66751,0.22054,0.3446,0.3536,0.36364
0.66877,0.22143,0.34234,0.35504,0.35969
0.67004,0.22119,0.34226,0.35798,0.363
0.6713,0.22056,0.34545,0.36071,0.36335
0.67257,0.22343,0.34052,0.36225,0.35274
0.67383,0.22226,0.33822,0.35841,0.36023
0.67509,0.21739,0.34358,0.35683,0.36056
0.67636,0.21948,0.34805,0.35539,0.35917
0.67762,0.22182,0.34137,0.36459,0.36134
0.67889,0.2168,0.33935,0.36755,0.35927
0.68015,0.22108,0.33812,0.36086,0.35708
0.68142,0.2131,0.34433,0.36042,0.3569
0.68268,0.21437,0.34634,0.35763,0.35185
0.68394,0.21471,0.3426,0.36148,0.3604
0.68521,0.21372,0.34549,0.36255,0.3559
0.68647,0.21595,0.34563,0.35518,0.3592
0.68774,0.21938,0.33683,0.34916,0.35854
0.689,0.20681,0.33796,0.35701,0.36257
0.69027,0.2166,0.34306,0.35504,0.35763
0.69153,0.21629,0.3377,0.34971,0.36084
0.69279,0.21475,0.33819,0.34666,0.35863
0.69406,0.20897,0.33049,0.35811,0.3629
0.69532,0.21592,0.34265,0.35287,0.35597
0.69659,0.2083,0.33626,0.35164,0.354
0.69785,0.20703,0.32739,0.35509,0.35806
0.69912,0.20978,0.34216,0.35022,0.35454
0.70038,0.2111,0.33385,0.35778,0.3575
0.70164,0.21082,0.33828,0.35674,0.35928
0.70291,0.2162,0.33422,0.35157,0.35474
0.70417,0.2146,0.33449,0.34588,0.35586
